파일명, 프레임 개수
vggsound_sparse_train_people_eating_apple_43.mp4, 126
vggsound_sparse_train_playing_badminton_569.mp4, 125
vggsound_sparse_train_skateboarding_532.mp4, 125
vggsound_sparse_train_hammering_nails_139.mp4, 125
vggsound_sparse_train_people_sneezing_6.mp4, 119
vggsound_sparse_train_dog_barking_373.mp4, 125
vggsound_sparse_train_hammering_nails_303.mp4, 125
vggsound_sparse_train_hammering_nails_190.mp4, 125
vggsound_sparse_train_playing_badminton_587.mp4, 125
vggsound_sparse_train_playing_badminton_492.mp4, 125
vggsound_sparse_train_dog_barking_380.mp4, 125
vggsound_sparse_train_chopping_wood_86.mp4, 125
vggsound_sparse_train_skateboarding_627.mp4, 126
vggsound_sparse_train_lions_roaring_69.mp4, 126
vggsound_sparse_train_lions_roaring_40.mp4, 125
vggsound_sparse_train_lions_roaring_265.mp4, 125
vggsound_sparse_train_dog_barking_100.mp4, 125
vggsound_sparse_train_playing_badminton_690.mp4, 125
vggsound_sparse_train_playing_badminton_584.mp4, 125
vggsound_sparse_train_hammering_nails_312.mp4, 126
vggsound_sparse_train_playing_badminton_322.mp4, 125
vggsound_sparse_train_dog_barking_272.mp4, 126
vggsound_sparse_train_skateboarding_321.mp4, 125
vggsound_sparse_train_lions_roaring_275.mp4, 126
vggsound_sparse_train_dog_barking_68.mp4, 125
vggsound_sparse_train_skateboarding_640.mp4, 125
vggsound_sparse_train_playing_badminton_619.mp4, 125
vggsound_sparse_train_hammering_nails_339.mp4, 125
vggsound_sparse_train_lions_roaring_357.mp4, 126
vggsound_sparse_train_hammering_nails_386.mp4, 126
vggsound_sparse_train_ice_cracking_77.mp4, 126
vggsound_sparse_train_striking_bowling_125.mp4, 125
vggsound_sparse_train_playing_badminton_374.mp4, 125
vggsound_sparse_train_striking_bowling_150.mp4, 125
vggsound_sparse_train_skateboarding_167.mp4, 125
vggsound_sparse_train_lions_roaring_492.mp4, 125
vggsound_sparse_train_skateboarding_182.mp4, 125
vggsound_sparse_train_playing_tennis_59.mp4, 125
vggsound_sparse_train_playing_tennis_236.mp4, 126
vggsound_sparse_train_people_sneezing_23.mp4, 125
vggsound_sparse_train_playing_badminton_190.mp4, 125
vggsound_sparse_train_playing_badminton_198.mp4, 126
vggsound_sparse_train_people_sneezing_89.mp4, 125
vggsound_sparse_train_lions_roaring_146.mp4, 126
vggsound_sparse_train_people_sneezing_20.mp4, 125
vggsound_sparse_train_hammering_nails_132.mp4, 125
vggsound_sparse_train_dog_barking_3.mp4, 125
vggsound_sparse_train_playing_tennis_98.mp4, 126
vggsound_sparse_train_chopping_wood_93.mp4, 125
vggsound_sparse_train_people_sneezing_201.mp4, 125
vggsound_sparse_train_hammering_nails_279.mp4, 125
vggsound_sparse_train_playing_badminton_238.mp4, 125
vggsound_sparse_train_playing_badminton_115.mp4, 125
vggsound_sparse_train_lions_roaring_736.mp4, 125
vggsound_sparse_train_skateboarding_287.mp4, 126
vggsound_sparse_train_chopping_wood_115.mp4, 125
vggsound_sparse_train_lions_roaring_106.mp4, 125
vggsound_sparse_train_skateboarding_501.mp4, 126
vggsound_sparse_train_playing_badminton_576.mp4, 126
vggsound_sparse_train_dog_barking_40.mp4, 125
